Food_code,Main_food_description,Protein,Total Fat,Carbohydrates,Energy,Alcohol,Water,Caffeine,Theobromine,Sugar,Fiber,Calcium,Iron,Magnesium,Phosphorous,Potassium,Sodium,Zinc,Copper,Selenium,Retinol,Vitamin A,"Carotene, Beta","Carotene, Alpha",Vitamin E,Vitamin D,"Cryptoxanthin, beta",Lycopene,Lutein + zeaxanthin,Vitamin C,Thiamin,Riboflavin,Niacin,VitaminB6,"Folate, Total",Vitamin B-12,"Choline, Total",Vitamin K,Folic Acid,"Folate, Food","Folate, DFE","Vitamin E, added",VitaminB12a,Cholestrol,FattyAcids,607,608,609,610,611,612,613,614,617,618,619,620,621,626,627,628,629,630,631,645,646,Color,MODCODE,DESCRIPTION,F_CITMLB,F_OTHER,F_JUICE,F_TOTAL,V_DRKGR,V_REDOR_TOMATO,V_REDOR_OTHER,V_REDOR_TOTAL,V_STARCHY_POTATO,V_STARCHY_OTHER,V_STARCHY_TOTAL,V_OTHER,V_TOTAL,V_LEGUMES,G_WHOLE,G_REFINED,G_TOTAL,PF_MEAT,PF_CUREDMEAT,PF_ORGAN,PF_POULT,PF_SEAFD_HI,PF_SEAFD_LOW,PF_MPS_TOTAL,PF_EGGS,PF_SOY,PF_NUTSDS,PF_LEGUMES,PF_TOTAL,D_MILK,D_YOGURT,D_CHEESE,D_TOTAL,OILS,SOLID_FATS,ADD_SUGARS,A_DRINKS
11000000,"Milk, human",1.03,4.38,6.89,70,0,87.5,0,0,6.89,0,32,0.03,3,14,51,17,0.17,0.052,1.8,60,61,7,0,0.08,0.1,0,0,0,5,0.014,0.036,0.177,0.011,5,0.05,16,0.3,0,5,5,0,0,14,2.009,0,0,0,0.063,0.256,0.321,0.919,0.293,1.475,0.374,0.052,0.026,0,0.129,0,0.04,0,0,0,1.658,0.497,#faebd7,0,"Milk, human",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11100000,"Milk, NFS",3.28,1.91,4.85,50,0,89.25,0,0,5.08,0,119,0.03,11,91,142,44,0.43,0.014,3.1,53,54,4,0,0.04,1.2,0,0,0,0.1,0.04,0.18,0.092,0.037,5,0.49,15.8,0.2,0,5,5,0,0,7,1.154,0.057,0.041,0.033,0.046,0.049,0.173,0.513,0.225,0.483,0.065,0.027,0,0,0.013,0,0.001,0,0,0,0.507,0.094,#faebd7,0,"Milk, NFS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41,0,0,0.41,0,1.3,0,0
11111000,"Milk, whole",3.15,3.25,4.8,61,0,88.13,0,0,5.05,0,113,0.03,10,84,132,43,0.37,0.025,3.7,45,46,7,0,0.07,1.3,0,0,0,0,0.046,0.169,0.089,0.036,5,0.45,14.3,0.3,0,5,5,0,0,10,1.865,0.075,0.075,0.075,0.075,0.077,0.297,0.829,0.365,0.812,0.12,0.075,0,0,0,0,0,0,0,0,0.812,0.195,#faebd7,0,"Milk, cow's, fluid, whole",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41,0,0,0.41,0,2.64,0,0
11111100,"Milk, low sodium, whole",3.1,3.46,4.46,61,0,88.2,0,0,4.46,0,101,0.05,5,86,253,3,0.38,0.01,2,28,29,7,0,0.08,1.3,0,0,0,0.9,0.02,0.105,0.043,0.034,5,0.36,16,0.3,0,5,5,0,0,14,2.154,0.112,0.066,0.039,0.087,0.097,0.348,0.91,0.419,0.87,0.078,0.05,0,0,0.077,0,0,0,0,0,0.999,0.128,#faebd7,0,"Milk, cow's, fluid, whole, low-sodium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41,0,0,0.41,0,2.85,0,0
11111150,"Milk, calcium fortified, whole",3.15,3.25,4.8,61,0,88.13,0,0,5.05,0,113,0.03,10,84,132,43,0.37,0.025,3.7,45,46,7,0,0.07,1.3,0,0,0,0,0.046,0.169,0.089,0.036,5,0.45,14.3,0.3,0,5,5,0,0,10,1.865,0.075,0.075,0.075,0.075,0.077,0.297,0.829,0.365,0.812,0.12,0.075,0,0,0,0,0,0,0,0,0.812,0.195,#faebd7,0,"Milk, calcium fortified, cow's, fluid, whole",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41,0,0,0.41,0,2.64,0,0
11111160,"Milk, calcium fortified, low fat (1%)",3.37,0.97,4.99,42,0,89.92,0,0,5.2,0,125,0.03,11,95,150,44,0.42,0.01,3.3,58,58,2,0,0.01,1.2,0,0,0,0,0.02,0.185,0.093,0.037,5,0.47,17.7,0.1,0,5,5,0,0,5,0.633,0.024,0.018,0.013,0.027,0.029,0.091,0.287,0.126,0.25,0.03,0.004,0,0,0.017,0,0,0,0,0,0.277,0.035,#faebd7,0,"Milk, calcium fortified, cow's, fluid, 1% fat",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41,0,0,0.41,0,0.36,0,0
11111170,"Milk, calcium fortified, fat free (skim)",3.4,0.18,4.85,35,0,90.8,0,0,4.85,0,204,0.04,11,101,166,52,0.4,0.011,2.1,137,137,0,0,0.01,1.2,0,0,0,1,0.036,0.14,0.088,0.04,5,0.38,16,0,0,5,5,0,0,2,0.117,0.009,0.001,0.002,0.004,0.003,0.017,0.053,0.019,0.038,0.005,0.002,0,0,0.007,0,0,0,0,0,0.047,0.007,#faebd7,0,"Milk, calcium fortified, cow's, fluid, skim or nonfat",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41,0,0,0.41,0,0,0,0
11112110,"Milk, reduced fat (2%)",3.3,1.98,4.8,50,0,89.21,0,0,5.06,0,120,0.02,11,92,140,47,0.48,0.006,2.5,55,55,4,0,0.03,1.2,0,0,0,0.2,0.039,0.185,0.092,0.038,5,0.53,16.4,0.2,0,5,5,0,0,8,1.257,0.077,0.04,0.02,0.049,0.055,0.175,0.558,0.243,0.508,0.062,0.008,0,0,0.027,0,0.002,0,0,0,0.56,0.073,#faebd7,0,"Milk, cow's, fluid, 2% fat",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41,0,0,0.41,0,1.37,0,0
11112120,"Milk, acidophilus, low fat (1%)",3.37,0.97,4.99,42,0,89.92,0,0,5.2,0,125,0.03,11,95,150,44,0.42,0.01,3.3,58,58,2,0,0.01,1.2,0,0,0,0,0.02,0.185,0.093,0.037,5,0.47,17.7,0.1,0,5,5,0,0,5,0.633,0.024,0.018,0.013,0.027,0.029,0.091,0.287,0.126,0.25,0.03,0.004,0,0,0.017,0,0,0,0,0,0.277,0.035,#faebd7,0,"Milk, cow's, fluid, acidophilus, 1% fat",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41,0,0,0.41,0,0.36,0,0
11112130,"Milk, acidophilus, reduced fat (2%)",3.3,1.98,4.8,50,0,89.21,0,0,5.06,0,120,0.02,11,92,140,47,0.48,0.006,2.5,55,55,4,0,0.03,1.2,0,0,0,0.2,0.039,0.185,0.092,0.038,5,0.53,16.4,0.2,0,5,5,0,0,8,1.257,0.077,0.04,0.02,0.049,0.055,0.175,0.558,0.243,0.508,0.062,0.008,0,0,0.027,0,0.002,0,0,0,0.56,0.073,#faebd7,0,"Milk, cow's, fluid, acidophilus, 2% fat",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41,0,0,0.41,0,1.37,0,0
